difficulty,questionText
EASY,What is DevOps?
EASY,Why is DevOps used?
EASY,What problem does DevOps solve?
EASY,What is CI?
EASY,What is CD?
EASY,What is CI/CD?
EASY,What is continuous integration?
EASY,What is continuous delivery?
EASY,What is continuous deployment?
EASY,What is version control?
EASY,What is Git?
EASY,What is GitHub?
EASY,What is a Git repository?
EASY,What is a Git branch?
EASY,What is a Git commit?
EASY,What is a Git merge?
EASY,What is a pull request?
EASY,What is a Git conflict?
EASY,What is Jenkins?
EASY,What is a CI/CD pipeline?
EASY,What is build automation?
EASY,What is automated testing?
EASY,What is deployment?
EASY,What is Docker?
EASY,What is a Docker image?
EASY,What is a Docker container?
EASY,What is a Dockerfile?
EASY,What is Docker Hub?
EASY,What is containerization?
EASY,What is a virtual machine?
EASY,What is Kubernetes?
EASY,What is a Kubernetes pod?
EASY,What is a Kubernetes deployment?
EASY,What is a Kubernetes service?
EASY,What is infrastructure?
EASY,What is Infrastructure as Code?
EASY,What is Terraform?
EASY,What is Ansible?
EASY,What is monitoring?
EASY,What is logging?
EASY,What is observability?
EASY,What is a server?
EASY,What is a cloud server?
EASY,What is environment configuration?
EASY,What is a development environment?
EASY,What is a testing environment?
EASY,What is a production environment?
EASY,What is environment variable?
EASY,What is a secret in DevOps?
EASY,Why should secrets not be stored in source code?
MEDIUM,Explain the typical stages of a CI/CD pipeline.
MEDIUM,What happens when code is pushed to a Git repository?
MEDIUM,How does continuous integration work?
MEDIUM,How does continuous delivery differ from continuous deployment?
MEDIUM,Why are automated tests important in CI/CD?
MEDIUM,What is a build artifact?
MEDIUM,What is a build server?
MEDIUM,What is a pipeline trigger?
MEDIUM,What is a pipeline stage?
MEDIUM,What is a pipeline job?
MEDIUM,What is a pipeline agent?
MEDIUM,What is Jenkins Pipeline?
MEDIUM,What is a Jenkinsfile?
MEDIUM,What is the difference between declarative and scripted Jenkins pipelines?
MEDIUM,How do you connect Jenkins to GitHub?
MEDIUM,How can Jenkins automatically trigger a build after a GitHub push?
MEDIUM,What is a webhook?
MEDIUM,What is a Docker image layer?
MEDIUM,What is the difference between a Docker image and container?
MEDIUM,How does Dockerfile work?
MEDIUM,What is a Docker volume?
MEDIUM,What is Docker networking?
MEDIUM,What is a Docker registry?
MEDIUM,What is Docker Compose?
MEDIUM,When would you use Docker Compose?
MEDIUM,What is a multi-stage Docker build?
MEDIUM,Why should Docker images be kept small?
MEDIUM,What is container orchestration?
MEDIUM,Why is Kubernetes needed?
MEDIUM,What is a Kubernetes cluster?
