difficulty,questionText
EASY,What is SQL?
EASY,What is a database?
EASY,What is a relational database?
EASY,What is a table?
EASY,What is a row?
EASY,What is a column?
EASY,What is a primary key?
EASY,What is a foreign key?
EASY,What is a candidate key?
EASY,What is a composite key?
EASY,What is a unique key?
EASY,What is a constraint?
EASY,What is NOT NULL constraint?
EASY,What is DEFAULT constraint?
EASY,What is CHECK constraint?
EASY,What is the SELECT statement?
EASY,What is the WHERE clause?
EASY,What is the ORDER BY clause?
EASY,What is GROUP BY?
EASY,What is HAVING?
EASY,What is DISTINCT?
EASY,What is an alias in SQL?
EASY,What is the INSERT statement?
EASY,What is the UPDATE statement?
EASY,What is the DELETE statement?
EASY,What is the difference between DELETE and DROP?
EASY,What is the difference between DELETE and TRUNCATE?
EASY,What is the difference between DROP and TRUNCATE?
EASY,What is a JOIN?
EASY,What is an INNER JOIN?
EASY,What is a LEFT JOIN?
EASY,What is a RIGHT JOIN?
EASY,What is a FULL OUTER JOIN?
EASY,What is a SELF JOIN?
EASY,What is a CROSS JOIN?
EASY,What is a subquery?
EASY,What is an aggregate function?
EASY,What is COUNT()?
EASY,What is SUM()?
EASY,What is AVG()?
EASY,What is MIN()?
EASY,What is MAX()?
EASY,What is NULL in SQL?
EASY,What is the difference between NULL and zero?
EASY,What is the IS NULL condition?
EASY,What is the LIKE operator?
EASY,What is the IN operator?
EASY,What is the BETWEEN operator?
EASY,What is the CASE expression?
EASY,What is UNION?
MEDIUM,What is the difference between UNION and UNION ALL?
MEDIUM,What is the difference between WHERE and HAVING?
MEDIUM,What is the difference between WHERE and ON in a JOIN?
MEDIUM,What is the difference between INNER JOIN and LEFT JOIN?
MEDIUM,How does a LEFT JOIN work?
MEDIUM,How do you find rows that exist in one table but not another?
MEDIUM,What is a correlated subquery?
MEDIUM,What is the difference between a subquery and a correlated subquery?
MEDIUM,What is a Common Table Expression?
MEDIUM,What is a CTE?
MEDIUM,What is a recursive CTE?
MEDIUM,What is a window function?
MEDIUM,What is the difference between GROUP BY and window functions?
MEDIUM,What is ROW_NUMBER()?
MEDIUM,What is RANK()?
MEDIUM,What is DENSE_RANK()?
MEDIUM,What is the difference between RANK() and DENSE_RANK()?
MEDIUM,What is PARTITION BY?
MEDIUM,How do you find the second highest salary using SQL?
MEDIUM,How do you find the nth highest salary?
MEDIUM,How do you find duplicate records?
MEDIUM,How do you remove duplicate rows?
MEDIUM,How do you find employees whose salary is greater than the average salary?
MEDIUM,How do you find the highest salary in each department?
MEDIUM,How do you find the second highest salary in each department?
MEDIUM,How do you count employees in each department?
MEDIUM,How do you find departments having more than five employees?
MEDIUM,How do you find records with NULL values?
MEDIUM,How does COALESCE() work?
MEDIUM,What is NULLIF()?
MEDIUM,What is the difference between COUNT(*) and COUNT(column)?
MEDIUM,What is the difference between COUNT(column) and COUNT(DISTINCT column)?
MEDIUM,What is a scalar function?
MEDIUM,What is a stored procedure?
MEDIUM,What is a function in SQL?
MEDIUM,What is a trigger?
MEDIUM,What is a view?
MEDIUM,What is the difference between a view and a table?
MEDIUM,What is an index?
MEDIUM,Why are indexes used?
MEDIUM,What is a clustered index?
MEDIUM,What is a non-clustered index?
MEDIUM,What is a composite index?
MEDIUM,What is a unique index?
MEDIUM,What is a covering index?
MEDIUM,What is an execution plan?
