difficulty,questionText
EASY,What is Java?
EASY,What are the main features of Java?
EASY,Why is Java platform independent?
EASY,What is the JVM?
EASY,What is the JDK?
EASY,What is the JRE?
EASY,What is Java bytecode?
EASY,What is the difference between JDK JRE and JVM?
EASY,What is a class in Java?
EASY,What is an object in Java?
EASY,What is a method in Java?
EASY,What is a constructor in Java?
EASY,What is the difference between a class and an object?
EASY,What are instance variables in Java?
EASY,What are local variables in Java?
EASY,What are static variables in Java?
EASY,Why is the main method static?
EASY,What is the purpose of the public keyword in Java?
EASY,What is the purpose of the static keyword?
EASY,What is the final keyword in Java?
EASY,What is a package in Java?
EASY,What is an import statement in Java?
EASY,What are access modifiers in Java?
EASY,What is the default access modifier in Java?
EASY,What is public access in Java?
EASY,What is private access in Java?
EASY,What is protected access in Java?
EASY,What is inheritance in Java?
EASY,What is encapsulation in Java?
EASY,What is polymorphism in Java?
EASY,What is abstraction in Java?
EASY,What is an interface in Java?
EASY,What is an abstract class in Java?
EASY,What is method overloading?
EASY,What is method overriding?
EASY,What is a superclass?
EASY,What is a subclass?
EASY,What is the super keyword?
EASY,What is the this keyword?
EASY,What is the difference between this and super?
EASY,What is an array in Java?
EASY,How do you create an array in Java?
EASY,What is a String in Java?
EASY,Why is String immutable in Java?
EASY,What is String concatenation?
EASY,What is the difference between String and StringBuilder?
EASY,What is an exception in Java?
EASY,What is exception handling?
EASY,What are try and catch blocks?
EASY,What is the purpose of the finally block?
MEDIUM,What is the difference between == and equals() in Java?
MEDIUM,What is the difference between equals() and hashCode()?
MEDIUM,Why should hashCode() be overridden when equals() is overridden?
MEDIUM,What is the difference between String StringBuilder and StringBuffer?
MEDIUM,Why is String immutable in Java?
MEDIUM,What is the String pool in Java?
MEDIUM,What is the difference between stack and heap memory?
MEDIUM,Where are objects stored in Java?
MEDIUM,Where are local variables stored in Java?
MEDIUM,What is garbage collection in Java?
MEDIUM,How does garbage collection work at a high level?
MEDIUM,Can we force garbage collection in Java?
MEDIUM,What makes an object eligible for garbage collection?
MEDIUM,What is the difference between checked and unchecked exceptions?
MEDIUM,What is the difference between throw and throws?
MEDIUM,What is the difference between final finally and finalize?
MEDIUM,Can we have multiple catch blocks for one try block?
MEDIUM,Can we have a try block without a catch block?
MEDIUM,Can we have a try block without catch and finally?
MEDIUM,What happens if an exception occurs in the finally block?
MEDIUM,What is the difference between compile-time and runtime polymorphism?
MEDIUM,How does method overloading work in Java?
MEDIUM,How does method overriding work in Java?
MEDIUM,Can a static method be overridden?
MEDIUM,Can a private method be overridden?
MEDIUM,Can a final method be overridden?
MEDIUM,What is dynamic method dispatch?
MEDIUM,What is upcasting in Java?
MEDIUM,What is downcasting in Java?
MEDIUM,What is the difference between an abstract class and an interface?
MEDIUM,Can an abstract class have a constructor?
MEDIUM,Can an interface have methods with implementations?
MEDIUM,What are default methods in interfaces?
MEDIUM,What are static methods in interfaces?
MEDIUM,Can a Java class implement multiple interfaces?
MEDIUM,Why does Java not support multiple inheritance using classes?
MEDIUM,What is composition in Java?
MEDIUM,What is the difference between inheritance and composition?
