difficulty,questionText
EASY,What is Spring Boot?
EASY,Why is Spring Boot used?
EASY,What are the main advantages of Spring Boot?
EASY,What is the difference between Spring and Spring Boot?
EASY,What is Spring Boot auto-configuration?
EASY,What is a Spring Boot starter?
EASY,What is spring-boot-starter-web?
EASY,What is spring-boot-starter-data-jpa?
EASY,What is spring-boot-starter-security?
EASY,What is the purpose of the Spring Boot parent POM?
EASY,What is Spring Initializr?
EASY,What is the main class in a Spring Boot application?
EASY,What does @SpringBootApplication do?
EASY,What is @Component?
EASY,What is @Service?
EASY,What is @Repository?
EASY,What is @Controller?
EASY,What is @RestController?
EASY,What is dependency injection?
EASY,What is constructor injection?
EASY,What is @Autowired?
EASY,What is an application.properties file?
EASY,What is application.yml?
EASY,What is the default port of a Spring Boot application?
EASY,How can you change the default server port?
EASY,What is an embedded server in Spring Boot?
EASY,Which embedded server is commonly used by Spring Boot?
EASY,What is a REST API?
EASY,What is @GetMapping?
EASY,What is @PostMapping?
EASY,What is @PutMapping?
EASY,What is @DeleteMapping?
EASY,What is @RequestMapping?
EASY,What is @PathVariable?
EASY,What is @RequestParam?
EASY,What is @RequestBody?
EASY,What is @ResponseBody?
EASY,What is Spring Data JPA?
EASY,What is JPA?
EASY,What is Hibernate?
EASY,What is an entity in JPA?
EASY,What does @Entity do?
EASY,What does @Id do?
EASY,What does @GeneratedValue do?
EASY,What is JpaRepository?
EASY,What is a DTO?
EASY,Why do we use DTOs?
EASY,What is Maven?
EASY,What is a Spring Bean?
EASY,What is the Spring ApplicationContext?
MEDIUM,How does Spring Boot auto-configuration work?
MEDIUM,How does Spring Boot decide which auto-configurations to apply?
MEDIUM,What is conditional configuration in Spring Boot?
MEDIUM,What is @ConditionalOnClass?
MEDIUM,What is @ConditionalOnMissingBean?
MEDIUM,What is @Configuration?
MEDIUM,What is @Bean?
MEDIUM,What is the difference between @Component and @Bean?
MEDIUM,What is component scanning?
MEDIUM,How does Spring discover beans?
MEDIUM,What is the difference between constructor injection and field injection?
MEDIUM,Why is constructor injection generally preferred?
MEDIUM,What happens when multiple beans of the same type exist?
MEDIUM,What is @Primary?
MEDIUM,What is @Qualifier?
MEDIUM,What is bean scope?
MEDIUM,What are singleton and prototype bean scopes?
MEDIUM,What is @Value in Spring Boot?
MEDIUM,What is @ConfigurationProperties?
MEDIUM,What is the difference between @Value and @ConfigurationProperties?
MEDIUM,What are Spring Boot profiles?
MEDIUM,How do you activate a Spring profile?
MEDIUM,What is application-dev.properties?
MEDIUM,What is the purpose of environment-specific configuration?
MEDIUM,How does Spring Boot connect to a database?
MEDIUM,What is a DataSource?
MEDIUM,What is HikariCP?
MEDIUM,What is the purpose of spring.datasource.url?
MEDIUM,What does spring.jpa.hibernate.ddl-auto do?
MEDIUM,What is the difference between ddl-auto create and update?
MEDIUM,What is the difference between JPA and Hibernate?
MEDIUM,What is EntityManager?
MEDIUM,What is persistence context?
